user_id,transaction_date,type,amount,old_balance,new_balance,balance_mismatch,amount_spike,destination_account,new_destination,blacklisted_dest,source_account,branch,currency,device,device_change,ip,ip_unusual,location,odd_hour,velocity,predicted_fraud,fraud_probability
U01,2025-06-07 06:05:00,Online Purchase,1164.48,4880.38,3715.9,0,0,Merchant435,0,0,SrcU01,Dammam,SAR,iPhone,0,10.0.0.190,0,Riyadh,0,0,1,56.93
U01,2025-06-10 12:32:00,Deposit,966.48,4190.26,5156.74,0,0,Merchant478,0,0,SrcU01,Dammam,SAR,iPhone,0,10.0.0.190,0,Dammam,0,0,1,56.93
U01,2025-06-12 19:53:00,Deposit,11977.83,40865.34,44969.61,1,1,Merchant2,0,0,SrcU01,Dammam,SAR,iPhone,0,10.0.0.110,1,Dammam,0,0,1,92.25
U01,2025-06-13 09:42:00,Transfer,177.0,48494.44,48317.44,0,0,Dest44,0,0,SrcU01,Riyadh,SAR,iPhone,0,10.0.0.26,0,Dammam,0,0,1,53.26
U01,2025-06-14 13:12:00,Withdrawal,905.69,38869.07,37963.38,0,0,Merchant230,0,0,SrcU01,Dammam,SAR,iPhone,0,10.0.0.7,0,Riyadh,0,0,1,54.79
U01,2025-06-15 15:27:00,Withdrawal,5887.03,8940.94,8076.31,0,1,Merchant2,0,0,SrcU01,Dammam,SAR,iPhone,0,10.0.0.7,0,Riyadh,0,0,1,92.22
U01,2025-06-16 13:37:00,Transfer,591.53,14406.26,13814.73,0,0,Dest44,0,0,SrcU01,Dammam,SAR,iPhone,0,10.0.0.172,1,Dammam,0,0,1,54.79
U01,2025-06-18 22:31:00,Withdrawal,703.75,25954.6,25250.85,0,0,Dest1160,1,0,SrcU01,Riyadh,SAR,iPhone,0,10.0.0.190,0,Dammam,0,0,1,55.68
U01,2025-06-21 20:24:00,Deposit,327.68,14961.16,15288.84,0,0,Merchant474,0,0,SrcU01,Dammam,SAR,iPhone,0,10.0.0.7,0,Riyadh,0,0,1,55.54
U01,2025-06-29 06:42:00,Withdrawal,582.67,15893.62,15310.95,0,0,Merchant169,0,0,SrcU01,Dammam,SAR,iPhone,0,10.0.0.190,0,Dammam,0,0,1,54.79
U01,2025-07-01 14:25:00,Withdrawal,1316.74,27363.46,26046.72,0,0,Merchant331,0,0,SrcU01,Dammam,SAR,iPhone,0,10.0.0.7,0,Riyadh,0,0,1,54.79
U01,2025-07-05 15:38:00,Deposit,488.18,773.34,1261.52,0,0,Merchant176,0,0,SrcU01,Dammam,SAR,iPhone,0,10.0.0.190,0,Riyadh,0,0,1,56.93
U01,2025-07-11 02:41:00,Withdrawal,961.78,18634.91,22369.65,1,0,Merchant468,0,0,SrcU01,Dammam,SAR,iPhone,0,10.0.0.140,1,Dammam,1,1,1,54.79
U01,2025-07-11 02:42:00,Withdrawal,672.25,22287.55,21615.3,0,0,Merchant186,0,0,SrcU01,Jeddah,SAR,iPhone,0,10.0.0.71,0,Riyadh,0,1,1,57.36
U01,2025-07-11 02:43:00,Transfer,12661.63,15929.7,16023.66,1,1,Dest972,1,0,SrcU01,Dammam,SAR,iPhone,0,10.0.0.7,0,Riyadh,1,1,1,93.03
